Finish Place,Player,R1,R2,R3,R4,Final Score,Drive Acc %,Drive Dist,Avg Putts,Birdies
1,S. Scheffler,69,67,71,71,278,76.79,298.5,1.53,21
2,R. McIlroy,73,73,71,64,281,67.86,318.12,1.61,15
3,S. Lowry,73,68,73,69,283,82.14,290.62,1.51,15
3,C. Smith,68,74,68,73,283,66.07,293.88,1.57,22
5,C. Morikawa,73,70,74,67,284,76.79,286.38,1.58,15
6,W. Zalatoris,71,72,75,67,285,69.64,306.62,1.51,19
6,C. Conners,70,73,72,70,285,73.21,291.12,1.61,16
8,J. Thomas,76,67,72,72,287,57.14,302.75,1.49,18
8,S.J. Im,67,74,71,75,287,76.79,288.62,1.61,16
10,C. Champ,72,75,71,70,288,73.21,315.15,1.69,13
10,C. Schwartzel,72,69,73,74,288,69.64,278.88,1.68,11
12,D. Johnson,69,73,75,72,289,66.07,290.5,1.64,14
12,D. Willett,69,74,73,73,289,66.07,288,1.57,10
